Temps t / s;Tension U_B1 / V;Tension U_A1 / V
14,8;0,0945;8,39
14,82;0,08895;8,495
14,84;0,0828;8,595
14,86;0,07605;8,685
14,88;0,06915;8,765
14,9;0,06165;8,84
14,92;0,054;8,9
14,94;0,04635;8,95
14,96;0,0381;8,995
14,98;0,02985;9,025
15;0,021;9,045
15,02;0,0126;9,05
15,04;0,00435;9,05
15,06;-0,0045;9,035
15,08;-0,0132;9,02
15,1;-0,02145;8,98
15,12;-0,0291;8,945
15,14;-0,0369;8,885
15,16;-0,04515;8,825
15,18;-0,05265;8,75
15,2;-0,0594;8,67
15,22;-0,0657;8,585
15,24;-0,0723;8,485
15,26;-0,0777;8,385
15,28;-0,0819;8,275
15,3;-0,0867;8,165
15,32;-0,09195;8,04
15,34;-0,09645;7,91
15,36;-0,09945;7,78
15,38;-0,1017;7,645
15,4;-0,1041;7,51
15,42;-0,10755;7,37
15,44;-0,10995;7,23
15,46;-0,11145;7,085
15,48;-0,1125;6,935
15,5;-0,11415;6,79
15,52;-0,1137;6,645
15,54;-0,11535;6,495
15,56;-0,11715;6,345
15,58;-0,1176;6,19
15,6;-0,1176;6,04
15,62;-0,1182;5,885
15,64;-0,1194;5,73
15,66;-0,1203;5,575
15,68;-0,12045;5,425
15,7;-0,12075;5,27
15,72;-0,1209;5,11
15,74;-0,12105;4,95
15,76;-0,12105;4,795
15,78;-0,1218;4,64
15,8;-0,1221;4,48
15,82;-0,1227;4,325
15,84;-0,1227;4,165
15,86;-0,12285;4,005
15,88;-0,1227;3,85
15,9;-0,12315;3,69
15,92;-0,1221;3,53
15,94;-0,12195;3,375
15,96;-0,1215;3,22
15,98;-0,1209;3,065
16;-0,1191;2,91
16,02;-0,11715;2,76
16,04;-0,11535;2,61
16,06;-0,1131;2,47
16,08;-0,1101;2,325
16,1;-0,1059;2,19
16,12;-0,10185;2,06
16,14;-0,0978;1,935
16,16;-0,09285;1,815
16,18;-0,08775;1,705
16,2;-0,0819;1,595
16,22;-0,07575;1,5
16,24;-0,069;1,41
16,26;-0,0624;1,335
16,28;-0,05475;1,265
16,3;-0,0468;1,205
16,32;-0,03885;1,155
16,34;-0,0306;1,115
16,36;-0,02235;1,09
16,38;-0,0138;1,07
16,4;-0,0051;1,065
16,42;0,0036;1,07
16,44;0,012;1,085
16,46;0,01995;1,11
16,48;0,02775;1,145
16,5;0,036;1,19
16,52;0,04425;1,245
16,54;0,05145;1,31
16,56;0,0582;1,385
16,58;0,06465;1,47
16,6;0,0717;1,555
16,62;0,07755;1,655
16,64;0,08205;1,76
16,66;0,08805;1,865
16,68;0,09285;1,985
16,7;0,0966;2,105
16,72;0,1002;2,23
16,74;0,10365;2,36
16,76;0,1068;2,49
16,78;0,1098;2,63
16,8;0,1119;2,77
16,82;0,11385;2,91
16,84;0,1152;3,06
16,86;0,11655;3,2
16,88;0,1176;3,345
16,9;0,1188;3,495
16,92;0,12045;3,645
16,94;0,12225;3,8
16,96;0,1218;3,95
16,98;0,1221;4,1
17;0,12315;4,255
17,02;0,1242;4,41
17,04;0,1239;4,565
17,06;0,1236;4,715
17,08;0,12405;4,87
17,1;0,12465;5,025
17,12;0,12525;5,185
17,14;0,12615;5,34
17,16;0,12645;5,495
17,18;0,1263;5,655
17,2;0,1257;5,81
17,22;0,1263;5,965
17,24;0,1275;6,125
17,26;0,12795;6,28
17,28;0,12765;6,44
17,3;0,12615;6,595
17,32;0,1263;6,755
17,34;0,12555;6,91
17,36;0,12405;7,065
17,38;0,123;7,215
17,4;0,1218;7,365
17,42;0,11985;7,515
17,44;0,11685;7,66
17,46;0,1137;7,8
17,48;0,1101;7,935
17,5;0,10665;8,07
17,52;0,10185;8,19
17,54;0,0966;8,305
17,56;0,09165;8,415
17,58;0,08595;8,525
