LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1357732,1357732,4,1.1059045791625977,887.4070198222782,752.5288115733848,0.0,18.0,18,20.0,1,,99.63061690784463,0.0,0.0,255.0,130815.0,124.46423551224045,0.9362681378549788,0.7741283712839311
ID1357738,1357738,4,0.9823920130729675,1006.8989115289374,788.0494193260203,0.0,23.0,23,20.0,1,,87.006854531607,0.0,0.0,255.0,114240.0,120.94501162563856,0.9329738511681691,0.6944468241727831
ID1357744,1357744,4,1.0003552436828613,979.8547104497923,773.7180588494502,0.0,22.0,22,20.0,1,,90.89108910891089,0.0,0.0,255.0,119340.0,122.17776628543706,0.9384538680996041,0.7203052512367372
ID1357750,1357750,4,1.0508153438568115,957.3589637121025,765.7995204988912,0.0,21.0,21,20.0,1,,94.96953541507997,0.0,0.0,255.0,124695.0,123.32721812210978,0.9332445972864667,0.7434710344041051
ID1357756,1357756,4,1.130417823791504,866.3618502963902,752.1545868678251,0.0,17.0,17,20.0,1,,100.99009900990099,0.0,0.0,255.0,132600.0,124.76109142029598,0.9237882002214238,0.7774004403201671
ID1357762,1357762,4,1.016453504562378,1025.873660220973,801.6617926833799,0.0,24.0,24,20.0,1,,87.78370144706778,0.0,0.0,255.0,115260.0,121.20253210652328,0.9377462668875614,0.7010042110589884
ID1357768,1357768,4,1.0632332563400269,1067.6994806339173,849.5420658508959,0.0,27.0,27,20.0,1,,87.3952779893374,0.0,0.0,255.0,114750.0,121.07446386772189,0.9880643416525386,0.7174971819509511
ID1357775,1357775,4,1.105610966682434,1076.8167697620443,864.2181898955969,0.0,28.0,28,20.0,1,,91.86214775323687,0.0,0.0,255.0,120615.0,122.46475366737423,0.9663069836667136,0.7372576269935893
ID1357780,1357780,4,1.0099233388900757,1040.7635008858044,815.3844304558711,0.0,25.0,25,20.0,1,,86.8126428027418,0.0,0.0,255.0,113985.0,120.8797651157053,0.939910780909816,0.6959278876190959
ID1357786,1357786,4,1.0335283279418945,1055.264221474268,832.5613192281221,0.0,26.0,26,20.0,1,,88.56054836252856,0.0,0.0,255.0,116280.0,121.45453403938241,0.9551143534710201,0.7124260122073814
ID1357794,1357794,4,1.0507540702819824,1082.475956985132,877.2300021148569,0.0,29.0,29,20.0,1,,89.92003046458493,0.0,0.0,255.0,118065.0,121.8823609509372,0.9378098902210865,0.7140838700235228
ID1357800,1357800,4,1.0335975885391235,1087.6990164989595,902.7381703262241,0.0,30.0,30,20.0,1,,91.66793602437167,0.0,0.0,255.0,120360.0,122.40802676019746,0.9256027424427005,0.7199386485524198
ID1357806,1357806,4,1.0193369388580322,1089.7871015141925,924.8204603496035,0.0,31.0,31,20.0,1,,91.47372429550647,0.0,0.0,255.0,120105.0,122.3509650389062,0.9083262514595782,0.7117184089586823
ID1357812,1357812,4,1.0307916402816772,1133.1553342593334,939.5341625391844,0.0,38.0,38,20.0,1,,93.02741812642803,0.0,0.0,255.0,122145.0,122.79810980655851,0.9478163374377566,0.7372681413291214
ID1357818,1357818,4,0.9876183867454529,1094.3018411385385,946.3086867869929,0.0,35.0,35,20.0,1,,91.66793602437167,0.0,0.0,255.0,120360.0,122.40802676019746,0.9256027424427005,0.7199386485524198
ID1357824,1357824,4,1.003523588180542,1103.1479389558854,945.3917253941744,0.0,36.0,36,20.0,1,,94.77532368621478,0.0,0.0,255.0,124440.0,123.27578738936944,0.9202681613097152,0.7368854859884926
ID1357830,1357830,4,1.0694859027862549,1091.5844847233454,959.4948435139045,0.0,34.0,34,20.0,1,,94.77532368621478,0.0,0.0,255.0,124440.0,123.27578738936944,0.9202681613097152,0.7368854859884926
ID1357836,1357836,4,1.0419942140579224,1110.6387001057453,943.0485970463294,0.0,37.0,37,20.0,1,,95.16374714394516,0.0,0.0,255.0,124950.0,123.37832147147729,0.9359559056654391,0.7458003796645041
ID1357842,1357842,4,1.093015193939209,1090.8715155696286,964.6199535601241,0.0,33.0,33,20.0,1,,96.71744097486672,0.0,0.0,255.0,126990.0,123.77541057972014,0.9218066068355198,0.749601680617518
ID1357848,1357848,4,1.0896644592285156,1090.6742380716134,951.9591599868263,0.0,32.0,32,20.0,1,,95.94059405940594,0.0,0.0,255.0,125970.0,123.57946911909201,0.9224608498207582,0.7450347209797944
ID1357854,1357854,4,1.0211902856826782,1146.7277772414195,935.2868330532202,0.0,39.0,39,20.0,1,,92.83320639756283,0.0,0.0,255.0,121890.0,122.74338214302708,0.9330799183066785,0.730136894266383
ID1357860,1357860,4,0.9802218079566956,1165.0757933402904,927.3598624323761,0.0,40.0,40,20.0,1,,88.94897182025895,0.0,0.0,255.0,116790.0,121.57847630332348,0.9302595443678486,0.7051843373859921
ID1357866,1357866,4,0.92850661277771,1197.8904130003623,907.921890177942,0.0,42.0,42,20.0,1,,84.87052551408988,0.0,0.0,255.0,111435.0,120.20808302098615,0.9313446103166096,0.6809321648624723
ID1357872,1357872,4,0.9730265140533447,1183.4901294752121,917.4360981675051,0.0,41.0,41,20.0,1,,88.56054836252856,0.0,0.0,255.0,116280.0,121.45453403938241,0.9285861138336259,0.7021658602487517
ID1357879,1357879,4,0.8723483681678772,1230.9556055092355,879.3228228958582,0.0,44.0,44,20.0,1,,80.40365575019041,0.0,0.0,255.0,105570.0,118.52798907406836,0.9383359856072745,0.656771332981732
ID1357884,1357884,4,0.9082901477813721,1246.3656916772559,859.7770081421285,0.0,45.0,45,20.0,1,,81.95734958111196,0.0,0.0,255.0,107610.0,119.13406957379419,0.9200988641390464,0.6593148041945958
ID1357890,1357890,4,0.9236268997192383,1253.219342992234,846.2067208038062,0.0,46.0,46,20.0,1,,83.8994668697639,0.0,0.0,255.0,110160.0,119.85902138486418,0.9247679150341553,0.6726247632478194
ID1357897,1357897,4,0.9321796894073486,1215.3372481044896,894.1194721095087,0.0,43.0,43,20.0,1,,84.87052551408988,0.0,0.0,255.0,111435.0,120.20808302098615,0.9327869607727709,0.6814777722634459
ID1357902,1357902,4,0.9536572694778442,1261.927684722607,823.7068803866135,0.0,47.0,47,20.0,1,,85.25894897182026,0.0,0.0,255.0,111945.0,120.34522862522611,0.9202332857446613,0.679023865247155
ID1357906,1357906,4,1.0018880367279053,1247.819392457872,682.6745044758163,0.0,54.0,54,20.0,1,,88.56054836252856,0.0,0.0,255.0,116280.0,121.45453403938241,0.9217242240845288,0.6994658202596385
ID1357912,1357912,4,0.9824013113975525,1267.4997340394582,769.92572741308,0.0,50.0,50,20.0,1,,87.97791317593298,0.0,0.0,255.0,115515.0,121.26604859682695,0.9171075933728743,0.6941258646111808
ID1357919,1357919,4,0.9961584806442261,1264.6703108246672,810.981319490224,0.0,48.0,48,20.0,1,,88.56054836252856,0.0,0.0,255.0,116280.0,121.45453403938241,0.9189931208933585,0.6983858042639933
ID1357924,1357924,4,0.9937412738800049,1266.095103886029,750.6775488411645,0.0,51.0,51,20.0,1,,87.78370144706778,0.0,0.0,255.0,115260.0,121.20253210652328,0.9169318200411228,0.6928872494807299
